machine	theorem	file
1RB1RA_0LC0LD_0RB1LC_1RA1LD	ir_1RB1RA_0LC0LD_0RB1LC_1RA1LD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_1LA0LC_1RD1RC_0LA0RC	ir_1RB1LA_1LA0LC_1RD1RC_0LA0RC_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_0RC1RC_1RD0RD_1LA1RD	ir_1RB1LA_0RC1RC_1RD0RD_1LA1RD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_1LC1LD_1RC0RA_0LC0LD	ir_1RB1LA_1LC1LD_1RC0RA_0LC0LD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB0LA_1LC---_0LD0LC_1RD0RA	ir_1RB0LA_1LCXXX_0LD0LC_1RD0RA_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_1LC1LC_0LD0LC_1RD0RA	ir_1RB1LA_1LC1LC_0LD0LC_1RD0RA_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB---_1LC0LA_0LD0LC_1RD0RB	ir_1RBXXX_1LC0LA_0LD0LC_1RD0RB_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB0LC_1LC1LA_0LD0LC_1RD0RB	ir_1RB0LC_1LC1LA_0LD0LC_1RD0RB_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_1RC1RB_1LD0LA_0LA1LD	ir_1RB1LA_1RC1RB_1LD0LA_0LA1LD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1RB_1LC0RC_1LD1RC_1RA1LD	ir_1RB1RB_1LC0RC_1LD1RC_1RA1LD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_0LB1RC_1LD0RD_1LA1RD	ir_1RB1LA_0LB1RC_1LD0RD_1LA1RD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_1RC1RC_1RD0RD_1LA1RD	ir_1RB1LA_1RC1RC_1RD0RD_1LA1RD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_1RC1RB_0LD0LA_1LB1LD	ir_1RB1LA_1RC1RB_0LD0LA_1LB1LD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1RD_0RC0LA_1LC1LA_0RC0RD	ir_1RB1RD_0RC0LA_1LC1LA_0RC0RD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LB_1RC0LC_1RD1LC_1LA1RD	ir_1RB1LB_1RC0LC_1RD1LC_1LA1RD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_1RC1RB_0LD0LA_0RC1LD	ir_1RB1LA_1RC1RB_0LD0LA_0RC1LD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_0RC1RC_0LD0RD_1LA1RD	ir_1RB1LA_0RC1RC_0LD0RD_1LA1RD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_0LC1RD_1LA1RC_0LA0RC	ir_1RB1LA_0LC1RD_1LA1RC_0LA0RC_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_0LC1RD_1LA1RC_1LA0RC	ir_1RB1LA_0LC1RD_1LA1RC_1LA0RC_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LB_0RC0LC_1RD1LC_1LA1RD	ir_1RB1LB_0RC0LC_1RD1LC_1LA1RD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_0LC1RD_1LA1RC_0LC0RC	ir_1RB1LA_0LC1RD_1LA1RC_0LC0RC_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_0LC1RD_1LA1RC_1LC0RC	ir_1RB1LA_0LC1RD_1LA1RC_1LC0RC_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_0LC1RD_1LA1RC_1RC0RC	ir_1RB1LA_0LC1RD_1LA1RC_1RC0RC_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB0RB_1LA1LC_0LD0LC_1RD1RB	ir_1RB0RB_1LA1LC_0LD0LC_1RD1RB_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB0LB_1RC1RB_1LD0RC_1LD1LA	ir_1RB0LB_1RC1RB_1LD0RC_1LD1LA_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1RC_1RC1RB_1LD0RC_1LD1LA	ir_1RB1RC_1RC1RB_1LD0RC_1LD1LA_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1RC_1RC0RD_1LD0RC_1LD1LA	ir_1RB1RC_1RC0RD_1LD0RC_1LD1LA_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1RC_1LA1RB_1LD0RC_1LD1LA	ir_1RB1RC_1LA1RB_1LD0RC_1LD1LA_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1RC_1LA0RD_1LD0RC_1LD1LA	ir_1RB1RC_1LA0RD_1LD0RC_1LD1LA_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1LA_0LA1RC_1RD0RD_1LA1RD	ir_1RB1LA_0LA1RC_1RD0RD_1LA1RD_never_quasihalts	theories/Machines/IRules_Batch_00.v
1RB1RB_0LC0RC_1LD1RC_1RA1LD	ir_1RB1RB_0LC0RC_1LD1RC_1RA1LD_never_quasihalts	theories/Machines/IRules_Batch_01.v
1RB1LA_0LB1RC_1RD0RD_1LA1RD	ir_1RB1LA_0LB1RC_1RD0RD_1LA1RD_never_quasihalts	theories/Machines/IRules_Batch_01.v
1RB0RD_1RC1RB_1LA1LC_1LC1RD	ir_1RB0RD_1RC1RB_1LA1LC_1LC1RD_never_quasihalts	theories/Machines/IRules_Batch_01.v
