machine	theorem	file	anchor	k0	kmin	meta	nrules	decr_deltas
1RB---_0LC0LB_1RC0RD_1LB1LA	irk_1RBXXX_0LC0LB_1RC0RD_1LB1LA_never_quasihalts	theories/Machines/IRulesK_Batch_01.v	1406217	1023	1	2*k+1	2	-2,-1
1RB---_0RC0RB_1LD0LA_1LD1LB	irk_1RBXXX_0RC0RB_1LD0LA_1LD1LB_never_quasihalts	theories/Machines/IRulesK_Batch_01.v	1404206	1023	1	2*k+1	2	-2,-1
1RB0LA_0RC0RB_1LC1LD_0RA0RB	irk_1RB0LA_0RC0RB_1LC1LD_0RA0RB_never_quasihalts	theories/Machines/IRulesK_Batch_01.v	1408258	1023	1	2*k+1	2	-2,-1
1RB0LC_0LC0LB_1RC1RD_1LA0LB	irk_1RB0LC_0LC0LB_1RC1RD_1LA0LB_never_quasihalts	theories/Machines/IRulesK_Batch_01.v	1404191	1023	1	2*k+1	2	-2,-1
1RB0LC_0LC0LB_1RC1RD_1LA0LD	irk_1RB0LC_0LC0LB_1RC1RD_1LA0LD_never_quasihalts	theories/Machines/IRulesK_Batch_01.v	903350	1093	1	3*k+1	2	-2,-1
1RB0LC_1LA0LD_1RC1RB_0LC0LD	irk_1RB0LC_1LA0LD_1RC1RB_0LC0LD_never_quasihalts	theories/Machines/IRulesK_Batch_01.v	1404189	1023	1	2*k+1	2	-2,-1
1RB0LD_0LC0LB_0LD1LC_1RD1RA	irk_1RB0LD_0LC0LB_0LD1LC_1RD1RA_never_quasihalts	theories/Machines/IRulesK_Batch_01.v	2104284	1023	1	2*k+1	1	-3
1RB0LD_1LC0LB_0RA0LD_1RD1RB	irk_1RB0LD_1LC0LB_0RA0LD_1RD1RB_never_quasihalts	theories/Machines/IRulesK_Batch_01.v	1412355	1023	1	2*k+1	2	-2,-1
1RB0LD_1LC0LB_0RA1LC_1RD1RB	irk_1RB0LD_1LC0LB_0RA1LC_1RD1RB_never_quasihalts	theories/Machines/IRulesK_Batch_02.v	1404231	1024	2	2*k+0	1	-2
1RB0RA_0RC1LD_1LC0LA_0RC0RD	irk_1RB0RA_0RC1LD_1LC0LA_0RC0RD_never_quasihalts	theories/Machines/IRulesK_Batch_02.v	1406214	1023	1	2*k+1	2	-2,-1
1RB0RA_0RC1LD_1LC0LA_0RD0RB	irk_1RB0RA_0RC1LD_1LC0LA_0RD0RB_never_quasihalts	theories/Machines/IRulesK_Batch_02.v	2796170	1023	1	2*k+1	3	-2,-1
1RB0RB_0RC1LD_1LC0LD_1RB0RA	irk_1RB0RB_0RC1LD_1LC0LD_1RB0RA_never_quasihalts	theories/Machines/IRulesK_Batch_02.v	1042485	511	2	2*k+1	3	-2,-1
1RB0RC_0LC0LB_0LD1LC_1RD1RA	irk_1RB0RC_0LC0LB_0LD1LC_1RD1RA_never_quasihalts	theories/Machines/IRulesK_Batch_02.v	2106310	1023	1	2*k+1	1	-3
1RB0RC_0RC0RB_1LC1LD_1RA0RB	irk_1RB0RC_0RC0RB_1LC1LD_1RA0RB_never_quasihalts	theories/Machines/IRulesK_Batch_02.v	1404188	1023	1	2*k+1	2	-2,-1
1RB0RC_0RC1RB_0RD0RC_1LD1LA	irk_1RB0RC_0RC1RB_0RD0RC_1LD1LA_never_quasihalts	theories/Machines/IRulesK_Batch_02.v	1396044	1022	1	2*k+2	1	-2
1RB0RD_0LC0RC_1LC1LA_0RC0RD	irk_1RB0RD_0LC0RC_1LC1LA_0RC0RD_never_quasihalts	theories/Machines/IRulesK_Batch_02.v	1404191	1023	1	2*k+1	2	-2,-1
1RB0RD_0RC0RB_1LC0LA_0RA0RB	irk_1RB0RD_0RC0RB_1LC0LA_0RA0RB_never_quasihalts	theories/Machines/IRulesK_Batch_03.v	1404188	1023	2	2*k+1	2	-2,-1
1RB0RD_0RC0RB_1LC0LA_0RB---	irk_1RB0RD_0RC0RB_1LC0LA_0RBXXX_never_quasihalts	theories/Machines/IRulesK_Batch_03.v	1404188	1023	1	2*k+1	2	-2,-1
1RB0RD_0RC0RB_1LC0LA_0RD0RB	irk_1RB0RD_0RC0RB_1LC0LA_0RD0RB_never_quasihalts	theories/Machines/IRulesK_Batch_03.v	1404188	1023	1	2*k+1	2	-2,-1
1RB0RD_0RC0RB_1LC0LA_1RD1LB	irk_1RB0RD_0RC0RB_1LC0LA_1RD1LB_never_quasihalts	theories/Machines/IRulesK_Batch_03.v	1406214	1023	1	2*k+1	2	-2,-1
1RB0RD_0RC0RC_1LC1LA_0RC0RD	irk_1RB0RD_0RC0RC_1LC1LA_0RC0RD_never_quasihalts	theories/Machines/IRulesK_Batch_03.v	1404188	1023	1	2*k+1	2	-2,-1
1RB0RD_0RC1LA_1LC0LA_0RA0RB	irk_1RB0RD_0RC1LA_1LC0LA_0RA0RB_never_quasihalts	theories/Machines/IRulesK_Batch_03.v	1039473	511	2	2*k+1	3	-2,-1
1RB0RD_0RC1LA_1LC0LA_0RB0RB	irk_1RB0RD_0RC1LA_1LC0LA_0RB0RB_never_quasihalts	theories/Machines/IRulesK_Batch_03.v	1043489	511	2	2*k+1	3	-2,-1
1RB0RD_0RC1LA_1LC0LA_0RD0RB	irk_1RB0RD_0RC1LA_1LC0LA_0RD0RB_never_quasihalts	theories/Machines/IRulesK_Batch_03.v	1041481	511	2	2*k+1	3	-2,-1
1RB0RD_0RC1LA_1LC0LA_1LA0RB	irk_1RB0RD_0RC1LA_1LC0LA_1LA0RB_never_quasihalts	theories/Machines/IRulesK_Batch_04.v	1045497	511	1	2*k+1	3	-2,-1
1RB0RD_0RC1LA_1LC0LA_1RB0RB	irk_1RB0RD_0RC1LA_1LC0LA_1RB0RB_never_quasihalts	theories/Machines/IRulesK_Batch_04.v	1042485	511	2	2*k+1	3	-2,-1
1RB0RD_0RC1LD_1LC0LA_0RD0RB	irk_1RB0RD_0RC1LD_1LC0LA_0RD0RB_never_quasihalts	theories/Machines/IRulesK_Batch_04.v	2792118	1023	2	2*k+1	3	-2,-1
